,,,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Punting,Punting,Punting,Kick Ret,Kick Ret,Kick Ret,Kick Ret,Punt Ret,Punt Ret,Punt Ret,Punt Ret
Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Air Force,12,3.4,3.5,97.6,0.8,1.2,71.4,5.9,3.7,143.4,39.1,1.0,19.4,19.4,0.0,1.0,9.2,9.2,0.0
2,Akron,12,1.9,2.0,95.8,1.3,1.8,72.7,5.9,6.3,249.6,39.4,1.9,27.5,14.3,0.0,1.4,12.5,8.8,0.1
3,Alabama,15,5.5,6.1,90.2,1.0,1.3,75.0,8.5,2.8,100.1,35.8,1.5,34.9,23.8,0.1,1.1,16.7,14.7,0.1
4,Appalachian State,13,4.8,4.9,98.4,0.9,1.2,75.0,7.6,4.1,173.5,42.6,1.8,51.0,28.8,0.1,2.2,26.8,12.5,0.2
5,Arizona,12,3.3,3.5,92.9,1.6,2.3,70.4,8.0,4.3,178.4,42.0,3.4,64.4,18.9,0.1,1.8,15.3,8.4,0.0
6,Arizona State,13,3.5,3.5,100.0,1.4,1.7,81.8,7.6,4.5,198.9,43.8,2.2,43.3,19.4,0.0,1.7,17.5,10.3,0.1
7,Arkansas,12,2.4,2.4,100.0,1.6,2.0,79.2,7.2,5.7,212.4,37.5,1.9,44.2,23.0,0.0,0.8,7.6,10.1,0.0
8,Arkansas State,13,3.2,3.5,91.3,1.1,1.8,60.9,6.5,4.9,199.9,40.6,2.5,53.0,20.9,0.0,2.5,19.4,7.6,0.0
9,Army,13,4.4,4.4,100.0,0.7,1.0,69.2,6.5,2.5,94.3,38.3,0.8,11.7,13.8,0.0,0.9,13.8,14.9,0.0
10,Auburn,13,3.8,3.8,100.0,1.2,2.0,57.7,7.2,4.4,192.8,44.0,1.6,34.8,21.5,0.1,2.5,26.5,10.8,0.0
11,Ball State,12,2.9,2.9,100.0,0.9,1.3,68.8,5.7,4.9,195.2,39.7,3.0,49.0,16.3,0.0,0.8,7.3,8.7,0.0
12,Baylor,13,3.3,3.6,91.5,1.2,1.8,62.5,6.8,4.0,170.1,42.5,2.2,40.3,18.1,0.0,1.2,8.1,7.0,0.0
13,Boise State,13,4.5,4.6,96.7,0.9,1.5,60.0,7.2,3.8,138.6,36.8,2.2,47.8,22.2,0.1,2.4,20.0,8.4,0.1
14,Boston College,12,3.8,4.2,92.0,0.5,0.8,66.7,5.3,6.0,228.7,38.1,3.9,93.1,23.8,0.0,1.9,26.8,14.0,0.1
15,Bowling Green State,12,2.8,2.8,100.0,0.5,0.8,60.0,4.3,5.8,224.3,38.4,2.9,50.0,17.1,0.0,1.4,8.1,5.7,0.0
